,Format,Mode,ResX,ResY,Resolution
7050 T73652-2c.png,PNG,RGB,1000,704,704000
7050 T73652-3c.png,PNG,RGB,1000,707,707000
7075 Annealed-1c.png,PNG,RGB,840,628,527520
7075 Annealed-2c.png,PNG,RGB,828,674,558072
7075 T7352-1c.png,PNG,RGB,847,674,570878
7075 T7352-2c.png,PNG,RGB,826,668,551768
R30075 HIP-1c.png,PNG,RGB,1000,704,704000
C85700-1c.png,PNG,RGB,900,733,659700
C85700-2c.png,PNG,RGB,900,730,657000
C85200-1c.png,PNG,RGB,900,771,693900
C85200-2c.png,PNG,RGB,900,762,685800
C85200-3c.png,PNG,RGB,900,701,630900
C85200-4c.png,PNG,RGB,900,763,686700
C86300-1c.png,PNG,RGB,800,547,437600
C86300-2c.png,PNG,RGB,846,795,672570
C86300-3c.png,PNG,RGB,732,495,362340
C86300-4c.png,PNG,RGB,734,495,363330
C86300-5c.png,PNG,RGB,740,492,364080
C86300-6c.png,PNG,RGB,900,729,656100
C86300-7c.png,PNG,RGB,900,718,646200
C86300-8c.png,PNG,RGB,900,697,627300
C35000-1c.png,PNG,RGB,734,494,362596
C35000-2c.png,PNG,RGB,736,490,360640
MetalTek C86300-1c.png,PNG,RGB,900,728,655200
MetalTek C86300-2c.png,PNG,RGB,900,740,666000
MetalTek C86300-3c.png,PNG,RGB,900,727,654300
MetalTek C86300-4c.png,PNG,RGB,900,719,647100
MetalTek C86300-5c.png,PNG,RGB,900,716,644400
Muntz Metal-1c.png,PNG,RGB,1000,744,744000
C61800-1c.png,PNG,RGB,900,731,657900
C61800-2c.png,PNG,RGB,900,729,656100
C61800-3c.png,PNG,RGB,900,717,645300
C61800-4c.png,PNG,RGB,900,719,647100
C61800-5c.png,PNG,RGB,900,721,648900
C95500-1c.png,PNG,RGB,900,697,627300
C90700-1c.png,PNG,RGB,732,489,357948
C90700-2c.png,PNG,RGB,742,493,365806
C93200-1c.png,PNG,RGB,738,492,363096
C93200-2c.png,PNG,RGB,746,497,370762
C93700-1c.png,PNG,RGB,734,492,361128
C93700-2c.png,PNG,RGB,738,493,363834
C93700-3c.png,PNG,RGB,740,496,367040
C93700-4c.png,PNG,RGB,738,491,362358
C95400 as Cast-1c.png,PNG,RGB,837,775,648675
C95400 Tempered-1c.png,PNG,RGB,831,781,649011
C95400 Tempered-2c.png,PNG,RGB,738,496,366048
C95500 as Cast-1c.png,PNG,RGB,700,759,531300
C95500 as Cast-2c.png,PNG,RGB,700,754,527800
C83600-1c.png,PNG,RGB,900,728,655200
C83600-2c.png,PNG,RGB,900,706,635400
C90300-1c.png,PNG,RGB,900,739,665100
C90300-2c.png,PNG,RGB,900,735,661500
C90300-3c.png,PNG,RGB,900,736,662400
C90300-4c.png,PNG,RGB,900,704,633600
C97600-1c.png,PNG,RGB,744,496,369024
C97600-2c.png,PNG,RGB,740,485,358900
C97600-3c.png,PNG,RGB,742,494,366548
C97600-4c.png,PNG,RGB,1000,743,743000
C97600-5c.png,PNG,RGB,1000,745,745000
C97600-6c.png,PNG,RGB,1000,745,745000
C97800-1c.png,PNG,RGB,829,584,484136
C17510 A-1c.png,PNG,RGB,742,495,367290
C17510 AT-1c.png,PNG,RGB,734,495,363330
C26000 A-1c.png,PNG,RGB,1000,680,680000
C26000 A-2c.png,PNG,RGB,756,677,511812
C26000 A-3c.png,PNG,RGB,725,668,484300
C26000 A-4c.png,PNG,RGB,700,393,275100
C26000 A-5c.png,PNG,RGB,735,564,414540
C26000 A-6c.png,PNG,RGB,721,591,426111
C26000 A-7c.png,PNG,RGB,727,527,383129
C26000 A-8c.png,PNG,RGB,742,527,391034
C26000 A-9c.png,PNG,RGB,720,557,401040
C26000 A-10c.png,PNG,RGB,685,451,308935
C28000 M20-1c.png,PNG,RGB,879,621,545859
C51000 A-1c.png,PNG,RGB,835,812,678020
C61300 M20-1c.png,PNG,RGB,736,496,365056
C61300 M20-2c.png,PNG,RGB,742,496,368032
C63200 TQ50-1c.png,PNG,RGB,740,492,364080
C63200 TQ50-2c.png,PNG,RGB,740,495,366300
C10200 A-1c.png,PNG,RGB,843,618,520974
C11000 A-1c.png,PNG,RGB,732,494,361608
C11000 A-2c.png,PNG,RGB,700,392,274400
C11000 M20-1c.png,PNG,RGB,840,609,511560
C11000 M20-2c.png,PNG,RGB,837,614,513918
C11000 M20-3c.png,PNG,RGB,732,491,359412
C11000 M20-4c.png,PNG,RGB,742,492,365064
